variable_id,Mass,Metabolite,KEGG,HMDB,CAS,ChEBI,ppm,Mode,med,Ions,MSMS,Used.for.Quant,Super.pathway,Sub.pathway,true_name,mean_int
pHILIC_298.1139_4.7,298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing""",1-Methylguanosine,56831.87624
pHILIC_170.0923_8.5,170.0923_8.5,1-Methylhistidine,C01152,HMDB00001,,,-0.630517121,pHILIC,2.00E+06,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism,1-Methylhistidine,2105648.823
nHILIC_181.0367_6.8,181.0367_6.8,1-Methyluric acid,C16359,HMDB03099,708-79-2,HMDB,-0.055360249,nHILIC,9.00E+05,[M-H]-,YES,Y,Xenobiotics,Xanthine Metabolism,1-Methyluric acid,1132694.657
nHILIC_204.9811_1.1,204.9811_1.1,"1,2,3-benzenetriol sulfate",,,,,-0.624375025449228|-0.624375025449228|-0.624375025449228|-1.95834347547098,nHILIC,3.00E+05,[M-H]-,YES,Y,Xenobiotics,Chemical,"1,2,3-benzenetriol sulfate",1686972.174
nHILIC_481.244_5.2,481.244_5.2,11-beta-Hydroxyandrosterone-3-glucuronide,,HMDB10351,,HMDB,-0.627917462,nHILIC,70000,[M-H]-,YES,Y,Lipid,Androgenic Steroids,11-beta-Hydroxyandrosterone-3-glucuronide,74266.62666
nRPLC_383.1535_7.6,383.1535_7.6,16a-hydroxy DHEA 3-sulfate,,HMDB0062544,,,0.314144509983391|0.728163869219615,nRPLC,7.00E+05,[M-H]-,YES,Y,Lipid,Androgenic Steroids,16a-hydroxy DHEA 3-sulfate,815468.0439
pHILIC_104.0705_8.1,104.0705_8.1,2-Aminobutyrate,C02261,HMDB00650,,,-1.053110896,pHILIC,2.00E+05,[M+H]+,YES,Y,Amino Acid,Glutathione Metabolism,2-Aminobutyrate,184792.6356
nHILIC_188.0023_1.6,188.0023_1.6,2-Aminophenol sulfate,,HMDB61116,,,0.008428144,nHILIC,8.00E+05,[M-H]-,YES,Y,Xenobiotics,Chemical,2-Aminophenol sulfate,1302559.294
nRPLC_151.04_2.3,151.04_2.3,2-Hydroxyphenylacetate,C05852,HMDB00669,,,-0.421724085,nRPLC,20000,[M-H]-,YES,Y,Amino Acid,Tyrosine Metabolism,2-Hydroxyphenylacetate,89043.65646
pRPLC_100.0756_1.2,100.0756_1.2,2-Piperidinone,,HMDB11749,,,-0.94798216,pRPLC,1.00E+05,[M+H]+,YES,Y,Xenobiotics,Food Component/Plant,2-Piperidinone,234227.2153
